Name,Link,Year,Author,Dataset,Method,Result,
A Hybrid Deep Learning Approach for Skin Cancer Classification,https://drive.google.com/file/d/1cM3R0ZItyz24M-IpRG2KBLdOLeAhm36x/view,2024,"R. Karthik, R. Menaka, Shivansh Atre, Jaehyuk Cho, Sathishkumar Veerappampalayam Easwaramoorthy",HAM10000,Hybrid model combining Swin Transformer and DGSNLA Network,"Accuracy: 94.21%, F1-score: 96.64%, Precision: 96.62%, Recall: 96.25%",JOURNAL
Interpretable Skin Cancer Classification Using Optimized CNN for a Smart Healthcare System,https://drive.google.com/file/d/1VoAK5JGjx_S4mloXdnx6rYIBGQhLxzgM/view,2023,K. Mridha et al.,HAM10000,"Deep learning classification with CNN, handling class imbalance, explainability via Grad-CAM and Grad-CAM++.",82% classification accuracy; enhanced interpretability with XAI techniques.,JOURNAL
Skin Cancer Detection Using the HAM10000 Dataset A Comparative Study of Machine Learning Models,https://drive.google.com/file/d/1omYIbjjJXM37eYDo5jCq7CNQ6wqLaMcb/view?usp=drive_link,2023,"NandaKiran Velaga, Venkata Revanth Vardineni, Phanindra Tupakula, Jaanaki Swaroop Pamidimukkala",HAM10000,Random Forest,"Accuracy: 95.5% (validation), 95.6% (test)",
,,,,,SVM,"Accuracy: 90.9% (validation), 91.2% (test)",
,,,,,KNN,"Accuracy: 93% (validation), 94.2% (test)",
,,,,,Ridge Classifier,"Accuracy: 90.2% (validation), 90.5% (test)",
Skin Cancer Detection by Using Deep Learning,https://drive.google.com/file/d/1A2eO1gInCJ1OAxNWGlZ_RaUjKbfSlUK6/view,2023,"Mousa Alshalmani, Tarek Nagem, Bothaina F. Gargoum, Kenz A. Bozed",HAM10000,CNN Model (Simple Architecture),Accuracy: 78%,
,,,,,"Image Resizing, Z-score Normalization",Enhanced image clarity and processing speed,
,,,,,Adam Optimizer (50 epochs),Improved model performance,
,,,,,Augmented Data,Improved accuracy over original data,
Improved Skin Cancer Detection using EfficientNetB7,https://drive.google.com/file/d/1lnGjdPK9zgX65sCGEdYKoPcqf_f2fptB/view,2023,"Muskan Sharma, Yash Mahajan, Priya Batta, Devansh Saxena",HAM10000,EfficientNetB7,Accuracy: 89.07% on test set,
,,,,,Data Augmentation,Enhanced class balance and model performance,
,,,,,Dynamic Learning Rate,Accuracy increased by 83.20% by 26th epoch,
,,,,,Model Evaluation,"Precision, recall, F1-score and confusion matrix evaluated",
Computer Vision-based Deep Learning for Comprehensive Skin Cancer Detection,https://drive.google.com/file/d/1SGZKq88Y6hxjrEcmV7gGvZZ3M5qCVWZT/view,2023,"Devulapalli Praneetha, Madhavi Latha Pandala, Gopu Nithin Sai",HAM10000,Baseline CNN,"Accuracy: 86.5%, Precision: 87.1%, Recall: 85.3%",
,,,,,ResNet50,"Accuracy: 87.9%, Precision: 88.4%, Recall: 87.2%",
,,,,,InceptionV3,"Accuracy: 88.6%, Precision: 89.2%, Recall: 87.8%",
,,,,,Data Augmentation,Improved accuracy and reduced overfitting,
,,,,,Image Replication for Class Imbalance,Improved F-Score and minimized false negatives,
Artificial Intelligence Based Real-Time Skin Cancer Detection,https://drive.google.com/file/d/1lrPsXSPTA1uRZXSd36wr58zOBhON4_Lp/view,2023,"I. Naga Himanshu, T. Kishore Kumar",HAM10000,CNN,"Accuracy: 91.97%, Real-time simulation detection hit ratio: 90%",
,,,,,Random Forest,"Accuracy: 89.82%, Real-time simulation detection hit ratio: 50%",
Enhancing Dermoscopic Skin Cancer Detection via Hair Artifact Removal: An Iterative Diffusion Model Approach,https://drive.google.com/file/d/1-9qlIDhWcokeC-4F_XFLErMGenYdUynN/view,2023,"Anas M. Ali, El‐Sayed M. El‐Rabaie, Fathi E. Abd El-Samie, Khalil F. Ramadan",Synthetic (HAM10000 combined with hair images),IDM with PSNR metric,39.082 dB,
,,,,,IDM with SSIM metric,0.95759,
An Interpretable Deep Learning Approach for Skin Cancer Categorization,https://drive.google.com/file/d/1sdRRt-TpgtM2wM0Jxx_T9eCD7Q0SoTqM/view,2023,"Faysal Mahmud, Md. Mahin Mahfiz, Md. Zobayer Ibna Kabir, Yusha Abdullah",HAM10000,XceptionNet,Best accuracy of 88.72%,
,,,,,EfficientNetV2S,Accuracy of 86.83%,
,,,,,EfficientNetV2M,Accuracy of 87.55%,
,,,,,InceptionResNetV2,Accuracy of 87.23%,
An approach to Detect melanoma skin cancer Using fastai CNN Models,https://drive.google.com/file/d/1xR9kGtz5674NIzbjX-wiICOi9Ax2jN72/view,2023,"Md Shazzad Mia, Sumaiya Mustari Mim, Mohammad Jahangir Alam, Md Razib, Mahamudullah, Saurabh Bilgaiyan",HAM10000,ResNet18 (Fastai CNN),"Precision: 97%, Recall: 79%, F1-Score: 87%, Accuracy: 95%",
,,,,,ResNet50 (Fastai CNN),"Precision: 96%, Recall: 83%, F1-Score: 89%, Accuracy: 96%",
,,,,,VGG-19_bn (Fastai CNN),"Precision: 94%, Recall: 77%, F1-Score: 84%, Accuracy: 95%",
,,,,,DenseNet201 (Fastai CNN),"Precision: 96%, Recall: 91%, F1-Score: 94%, Accuracy: 97%",
,,,,,SqueezeNet1_1 (Fastai CNN),"Precision: 59%, Recall: 51%, F1-Score: 55%, Accuracy: 81%",
Advances in Deep Learning for Dermatology: Convolutional Neural Networks for Automated Skin Disease Detection and Diagnosis,https://drive.google.com/file/d/19wpBboh83GfLctsPVdBGfHLqyig_DnCy/view,2023,"Vasishtamol P K, Soni P",HAM10000,CNN-based Model,95% accuracy,
,,,,,Data Augmentation,Enhanced generalization,
,,,,,Transfer Learning,Improved performance,
,,,,,Model Evaluation,Robustness and generalization,
Comparative Analysis of Machine Learning Methods for Multi-Label Skin Cancer Classification,https://drive.google.com/file/d/11O0rkdWLf8O2sI8aHxHgOLuGyJe8UJFD/view,2023,"Muhammad Imad, Zahoor Ali Khan, Shah Hussain Bangash, Irfan Ullah Khan, Sheeraz Ahmad, Atif Ishtiaq",HAM10000_metadata,Support Vector Machine (SVM),Accuracy: 100%,
,,,,,,Precision: 100%,
,,,,,,Recall: 100%,
,,,,,,F1-Score: 100%,
,,,,,,Support: 2003,
,,,,,Decision Tree (DT),Accuracy: 100%,
,,,,,,Precision: 100%,
,,,,,,Recall: 100%,
,,,,,,F1-Score: 100%,
,,,,,,Support: 2003,
,,,,,,K-Nearest Neighbors (KNN),
,,,,,,Precision: 92%,
,,,,,,Recall: 72%,
,,,,,,F1-Score: 75%,
,,,,,,Support: 2003,
,,,,,,Gaussian Naive Bayes (GNB),
,,,,,,Precision: 100%,
,,,,,,Recall: 100%,
,,,,,,F1-Score: 100%,
,,,,,,Support: 2003,
,,,,,,Logistic Regression (LR),
,,,,,,Precision: 99%,
,,,,,,Recall: 91%,
,,,,,,F1-Score: 93%,
,,,,,,Support: 2003,
,,,,,,SGD Classifier (SGD),
,,,,,,Precision: 44%,
,,,,,,Recall: 44%,
,,,,,,F1-Score: 42%,
,,,,,,Support: 2003,
Deep Learning Architecture-Based Skin Cancer Detection Using Deep Belief Network and Grey Wolf Optimization,https://drive.google.com/file/d/1CXXWuL0APLLFHTZI307fvsOmJPYYdJOX/view,2023,"Ms. Jinu P Sainudeen, Dr. P Hemavathy, Dr. S. Sathyalakshmi",HAM10000,Deep Belief Network (DBN),"Accuracy: 92.7%, Precision: 89.4%, Recall: 91.38%, F1 Score: 92%, Specificity: 90.47%",
,,,,,Grey Wolf Optimization (GWO),"Accuracy: 92.7%, Precision: 89.4%, Recall: 91.38%, F1 Score: 92%, Specificity: 90.47%",
Automated Skin Cancer Detection using Deep Learning with Self-Attention Mechanism,https://drive.google.com/file/d/1VGOP6PiUHX3KUwUGCjiARhG5BeM2yP7V/view,2023,"Himanshi Singh, Suganya Devi K, Shraddha Singh Gaur, Ramanuj Bhattacharjee",HAM10000,VGG19 with self-attention modules,Accuracy of 91.4%,
Skin Cancer Detection Using CNN,https://drive.google.com/file/d/1cXhR2swLInj0qcydD7mSel7EPZhuTR7j/view,2023,"Parikshit Mahalle, Karan Lodha, Swapnil Shinde, Saiprasad Mane, Pratham Raka, Mahesh Malbhage",HAM10000,CNN with Data Augmentation,97.92% Accuracy,
,,,,,Augmented Images,Increased training dataset,
,,,,,Horizontal Flip,Improved model generalization,
Proposed Convolutional Neural Network for Skin Cancer Diagnosis and Classification,https://drive.google.com/file/d/1KZAEZvGPrEkeIg3KKok8u3ibE_roepVc/view,2023,"Rudresh Pillai, Neha Sharma, Rupesh Gupta",HAM10000,CNN with 26 layers,Accuracy: 99.94%,
,,,,,"Image augmentation (rotation, zooming, flipping)","Precision, Recall, F1 Score, Specificity from Confusion Matrix",
A Skin Cancer Detection System Based on CNN with Hair Removal,https://drive.google.com/file/d/18Utt9LGyvc2PSFtUYiAPgZeV3X32XQb_/view,2023,Zehao Li,HAM10000,"CNN with 8 convolutional layers, 4 max pooling layers, batch normalization, dropout","Accuracy: 97.03%, Loss: 0.0844",
,,,,,Dull Razor algorithm for hair removal,"Improved feature extraction, reduced noise",
,,,,,Random oversampling to balance dataset,Balanced dataset for improved training,
,,,,,"Data augmentation (rotation, zooming, shifting)",Reduced overfitting,
,,,,,Nadam optimizer with 0.002 learning rate,"Improved convergence, reduced loss",
,,,,,Web application using Flask,Easy-to-use platform for skin cancer diagnosis,
DeepSkinNet: A Deep Learning Model for Skin Cancer Detection,https://drive.google.com/file/d/1V9PpsXXebEqp6OXSOYx7xMKJizU_tqZP/view,2022,"Abhiram A P, S M Anzar, Alavikunhu Panthakkan",HAM10000,DeepSkinNet (CNN model),Accuracy: 97.354%,
,,,,,,Precision: 98%,
,,,,,,Recall: 97%,
,,,,,,F1-Score: 97%,
Multiclass Skin Lesion Classification Using DenseNet,https://drive.google.com/file/d/1aXiTXRysFoXVYqGsoJv8ogwzhydRAMWn/view,2022,"Neeshma A, Mrs. Chitra S. Nair",HAM10000,DenseNet-121 with Transfer Learning,Accuracy: 82.1%,
,,,,,Experiment 1 (Imbalanced dataset),Accuracy: 80.53%,
,,,,,,Precision (Melanocytic Nevi): 86.67%,
,,,,,,F1-score (Melanocytic Nevi): 90.98%,
,,,,,,F1-score (Dermatofibroma): 36.84%,
,,,,,Experiment 2 (Balanced dataset),Accuracy: 82.14%,
,,,,,,Precision (Vascular Lesions): 97.12%,
,,,,,,F1-score (Vascular Lesions): 97.12%,
,,,,,,Cross-entropy loss (Experiment 1): 1.04,
,,,,,,Cross-entropy loss (Experiment 2): 0.63,
